epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
59,0.09055118,5.173729897,471,37,495,0.5776095,0.9459459,0.023354564,11,35,0.100456618,5.49544239,197,22,219,0.584217787,1,0,0,22
60,0.10236221,5.215147495,471,37,491,0.5744534,0.972973,0.033970278,16,36,0.100456618,5.465348721,197,22,219,0.586986601,1,0,0,22
61,0.08267716,5.132372379,471,37,499,0.60968614,0.9459459,0.014861995,7,35,0.100456618,5.4355793,197,22,219,0.591370583,1,0,0,22
62,0.09448819,5.018558502,471,37,497,0.68640614,1,0.023354564,11,37,0.100456618,5.406144619,197,22,219,0.593216419,1,0,0,22
63,0.084645666,5.032911777,471,37,502,0.5838641,1,0.012738854,6,37,0.100456618,5.37677002,197,22,219,0.595523775,1,0,0,22
64,0.092519686,5.02931118,471,37,496,0.5313594,0.972973,0.023354564,11,36,0.100456618,5.347951889,197,22,219,0.597138882,1,0,0,22
65,0.08661418,5.043565273,471,37,501,0.50961155,1,0.014861995,7,37,0.100456618,5.319493771,197,22,219,0.597369611,1,0,0,22
66,0.08267716,4.949741364,471,37,503,0.6009066,1,0.010615711,5,37,0.100456618,5.291348457,197,22,219,0.59783113,1,0,0,22
67,0.08070866,4.966031551,471,37,502,0.5754289,0.972973,0.010615711,5,36,0.100456618,5.263630867,197,22,219,0.598523319,1,0,0,22
68,0.08070866,4.909239292,471,37,504,0.6262696,1,0.008492569,4,37,0.100456618,5.236056805,197,22,219,0.599446237,1,0,0,22
69,0.08858268,4.874869823,471,37,500,0.6386641,1,0.016985139,8,37,0.100456618,5.208541393,197,22,219,0.601522863,1,0,0,22
70,0.08070866,4.840797424,471,37,504,0.5926436,1,0.008492569,4,37,0.100456618,5.181420803,197,22,219,0.604291618,1,0,0,22
71,0.084645666,4.817721367,471,37,500,0.5855282,0.972973,0.014861995,7,36,0.100456618,5.154428482,197,22,219,0.604983866,1,0,0,22
72,0.07874016,4.827253819,471,37,505,0.5764618,1,0.006369427,3,37,0.100456618,5.127589703,197,22,219,0.604983866,1,0,0,22
73,0.076771654,4.748505592,471,37,504,0.663568,0.972973,0.006369427,3,36,0.100456618,5.100812912,197,22,219,0.604983866,1,0,0,22
74,0.09055118,4.742029667,471,37,499,0.61347336,1,0.01910828,9,37,0.100456618,5.074051857,197,22,219,0.605906785,1,0,0,22
75,0.076771654,4.64760685,471,37,506,0.70407987,1,0.004246285,2,37,0.100456618,5.047516823,197,22,219,0.607752681,1,0,0,22
76,0.08070866,4.652425289,471,37,504,0.6561083,1,0.008492569,4,37,0.100456618,5.021425724,197,22,219,0.609367788,1,0,0,22
77,0.07874016,4.685098171,471,37,505,0.57858497,1,0.006369427,3,37,0.100456618,4.995232582,197,22,219,0.611675143,1,0,0,22
78,0.07874016,4.679654598,471,37,501,0.56825614,0.9459459,0.010615711,5,35,0.100456618,4.969192982,197,22,219,0.613982439,1,0,0,22
79,0.07480315,4.606405258,471,37,505,0.635336,0.972973,0.004246285,2,36,0.100456618,4.943048954,197,22,219,0.615828335,1,0,0,22
80,0.07874016,4.63565588,471,37,501,0.55878806,0.9459459,0.010615711,5,35,0.100456618,4.916779995,197,22,219,0.617443442,1,0,0,22
81,0.08267716,4.50143671,471,37,501,0.6915132,0.972973,0.012738854,6,36,0.100456618,4.890480995,197,22,219,0.619520068,1,0,0,22
82,0.076771654,4.550000668,471,37,506,0.61703104,1,0.004246285,2,37,0.100456618,4.864103317,197,22,219,0.621827424,1,0,0,22
83,0.084645666,4.510949612,471,37,502,0.60176736,1,0.012738854,6,37,0.100456618,4.837931156,197,22,219,0.62367326,1,0,0,22
84,0.08070866,4.479037762,471,37,504,0.5945372,1,0.008492569,4,37,0.100456618,4.812141418,197,22,219,0.625057697,1,0,0,22
85,0.076771654,4.457705021,471,37,504,0.61353076,0.972973,0.006369427,3,36,0.100456618,4.786636829,197,22,219,0.626672804,1,0,0,22
86,0.08661418,4.418432713,471,37,501,0.59539795,1,0.014861995,7,37,0.100456618,4.761370182,197,22,219,0.626903534,1,0,0,22
87,0.07874016,4.391820431,471,37,505,0.6552476,1,0.006369427,3,37,0.100456618,4.736424446,197,22,219,0.629441619,1,0,0,22
88,0.08070866,4.439761162,471,37,504,0.5442704,1,0.008492569,4,37,0.100456618,4.711551189,197,22,219,0.630133808,1,0,0,22
89,0.08267716,4.340414524,471,37,503,0.6322947,1,0.010615711,5,37,0.100456618,4.687003613,197,22,219,0.632441163,1,0,0,22
90,0.076771654,4.326286316,471,37,506,0.5998738,1,0.004246285,2,37,0.100456618,4.662680626,197,22,219,0.63405627,1,0,0,22
91,0.076771654,4.294450283,471,37,506,0.5718139,1,0.004246285,2,37,0.100456618,4.638768196,197,22,219,0.634748518,1,0,0,22
92,0.08070866,4.310631275,471,37,504,0.60016066,1,0.008492569,4,37,0.100456618,4.614941597,197,22,219,0.636363626,1,0,0,22
93,0.07480315,4.224448204,471,37,507,0.64956677,1,0.002123142,1,37,0.100456618,4.591195107,197,22,219,0.638440251,1,0,0,22
94,0.08661418,4.198848724,471,37,501,0.6978826,1,0.014861995,7,37,0.100456618,4.567389965,197,22,219,0.640516818,1,0,0,22
95,0.07480315,4.16333437,471,37,507,0.6839961,1,0.002123142,1,37,0.100456618,4.543881893,197,22,219,0.642593443,1,0,0,22
96,0.07874016,4.157416344,471,37,505,0.6549607,1,0.006369427,3,37,0.100456618,4.520744801,197,22,219,0.64443934,1,0,0,22
97,0.076771654,4.114320278,471,37,506,0.6682734,1,0.004246285,2,37,0.100456618,4.497774124,197,22,219,0.646515906,1,0,0,22
98,0.068897635,4.14437151,471,37,506,0.5973489,0.9459459,0,0,35,0.100456618,4.474903107,197,22,219,0.646977365,1,0,0,22
99,0.08267716,4.136929512,471,37,503,0.5743387,1,0.010615711,5,37,0.100456618,4.452102661,197,22,219,0.649053991,1,0,0,22
100,0.08070866,3.983295202,471,37,504,0.7667413,1,0.008492569,4,37,0.100456618,4.429766178,197,22,219,0.650438368,1,0,0,22
101,0.07480315,4.036071301,471,37,505,0.6487634,0.972973,0.004246285,2,36,0.100456618,4.407739162,197,22,219,0.652976453,1,0,0,22
102,0.076771654,4.07670927,471,37,506,0.5900614,1,0.004246285,2,37,0.100456618,4.38560915,197,22,219,0.655053079,1,0,0,22
103,0.07480315,3.998840332,471,37,507,0.7196305,1,0.002123142,1,37,0.100456618,4.363575935,197,22,219,0.656206727,1,0,0,22
104,0.076771654,4.011000633,471,37,506,0.6485913,1,0.004246285,2,37,0.100456618,4.341668129,197,22,219,0.656668186,1,0,0,22
105,0.07480315,3.930783987,471,37,507,0.6733804,1,0.002123142,1,37,0.100456618,4.320063114,197,22,219,0.658975542,1,0,0,22
106,0.076771654,3.922750711,471,37,506,0.63189304,1,0.004246285,2,37,0.100456618,4.298779011,197,22,219,0.660590649,1,0,0,22
107,0.07283465,3.906975746,471,37,508,0.6320078,1,0,0,37,0.100456618,4.277617931,197,22,219,0.660821438,1,0,0,22
108,0.07283465,3.935409307,471,37,508,0.65088654,1,0,0,37,0.100456618,4.256239891,197,22,219,0.663359463,1,0,0,22
109,0.07480315,3.939746857,471,37,507,0.6174327,1,0.002123142,1,37,0.100456618,4.234817028,197,22,219,0.663590193,1,0,0,22
110,0.07480315,3.892884016,471,37,507,0.60050493,1,0.002123142,1,37,0.100456618,4.213554382,197,22,219,0.665897548,1,0,0,22
111,0.076771654,3.846035957,471,37,506,0.6453205,1,0.004246285,2,37,0.100456618,4.192517757,197,22,219,0.665666819,1,0,0,22
112,0.07283465,3.827286482,471,37,508,0.6608711,1,0,0,37,0.100456618,4.171695709,197,22,219,0.667281985,1,0,0,22
113,0.07283465,3.796313763,471,37,508,0.6269582,1,0,0,37,0.100456618,4.150912762,197,22,219,0.668666363,1,0,0,22
114,0.07283465,3.778314829,471,37,508,0.6794629,1,0,0,37,0.100456618,4.130202293,197,22,219,0.669127822,1,0,0,22
115,0.07480315,3.738342762,471,37,507,0.66896194,1,0.002123142,1,37,0.100456618,4.109726906,197,22,219,0.670742989,1,0,0,22
116,0.076771654,3.71105504,471,37,506,0.7246227,1,0.004246285,2,37,0.100456618,4.089688301,197,22,219,0.671896636,1,0,0,22
117,0.07480315,3.746070623,471,37,507,0.6328111,1,0.002123142,1,37,0.100456618,4.069703579,197,22,219,0.672127366,1,0,0,22
118,0.07480315,3.669725657,471,37,507,0.7080392,1,0.002123142,1,37,0.100456618,4.049747944,197,22,219,0.672819555,1,0,0,22
119,0.076771654,3.693962336,471,37,506,0.62093306,1,0.004246285,2,37,0.100456618,4.029923439,197,22,219,0.674665451,1,0,0,22
120,0.07480315,3.636901855,471,37,507,0.6604694,1,0.002123142,1,37,0.100456618,4.01043272,197,22,219,0.676049829,1,0,0,22
121,0.07283465,3.675719023,471,37,508,0.566133,1,0,0,37,0.100456618,3.991139889,197,22,219,0.677664995,1,0,0,22
122,0.07283465,3.583302975,471,37,508,0.68961954,1,0,0,37,0.100456618,3.972163916,197,22,219,0.678587914,1,0,0,22
123,0.07480315,3.529195309,471,37,507,0.7643312,1,0.002123142,1,37,0.100456618,3.953682661,197,22,219,0.679510832,1,0,0,22
124,0.07283465,3.525283337,471,37,508,0.72772133,1,0,0,37,0.100456618,3.935360432,197,22,219,0.679280102,1,0,0,22
125,0.07480315,3.572709799,471,37,507,0.6782579,1,0.002123142,1,37,0.100456618,3.916938543,197,22,219,0.679280102,1,0,0,22
126,0.07283465,3.517389536,471,37,508,0.67583346,1,0,0,37,0.100456618,3.898619413,197,22,219,0.680895269,1,0,0,22
127,0.07283465,3.545151949,471,37,508,0.62403166,1,0,0,37,0.100456618,3.880557775,197,22,219,0.681125998,1,0,0,22
128,0.07283465,3.521568537,471,37,508,0.64216447,1,0,0,37,0.100456618,3.862752199,197,22,219,0.681587458,1,0,0,22
129,0.07283465,3.507647753,471,37,508,0.66328114,1,0,0,37,0.100456618,3.845072985,197,22,219,0.682510376,1,0,0,22
130,0.07283465,3.438203812,471,37,508,0.69765306,1,0,0,37,0.100456618,3.827587128,197,22,219,0.682971835,1,0,0,22
131,0.07283465,3.396778107,471,37,508,0.74579674,1,0,0,37,0.100456618,3.810194969,197,22,219,0.684125543,1,0,0,22
132,0.07480315,3.393548012,471,37,507,0.732025,1,0.002123142,1,37,0.100456618,3.792766094,197,22,219,0.684125543,1,0,0,22
133,0.07874016,3.390564442,471,37,505,0.6911689,1,0.006369427,3,37,0.100456618,3.77555418,197,22,219,0.684587002,1,0,0,22
134,0.07283465,3.377281904,471,37,508,0.7101624,1,0,0,37,0.100456618,3.758216143,197,22,219,0.685048461,1,0,0,22
135,0.07283465,3.375238895,471,37,508,0.7265163,1,0,0,37,0.100456618,3.740924358,197,22,219,0.686432838,1,0,0,22
136,0.070866145,3.397464037,471,37,507,0.619728,0.972973,0,0,36,0.100456618,3.723697901,197,22,219,0.685971379,1,0,0,22
137,0.07283465,3.362661839,471,37,508,0.6613875,1,0,0,37,0.100456618,3.7066257,197,22,219,0.68574065,1,0,0,22
138,0.07283465,3.355172157,471,37,508,0.61932635,1,0,0,37,0.100456618,3.689695597,197,22,219,0.685971379,1,0,0,22
139,0.07480315,3.313549042,471,37,507,0.6433695,1,0.002123142,1,37,0.100456618,3.672890186,197,22,219,0.686663568,1,0,0,22
140,0.07283465,3.25231123,471,37,508,0.7673151,1,0,0,37,0.100456618,3.656540632,197,22,219,0.688048005,1,0,0,22
141,0.07283465,3.259840488,471,37,508,0.64187753,1,0,0,37,0.100456618,3.640686035,197,22,219,0.688509464,1,0,0,22
142,0.07283465,3.282285929,471,37,508,0.6759052,1,0,0,37,0.100456618,3.624783993,197,22,219,0.689201653,1,0,0,22
143,0.07283465,3.218804121,471,37,508,0.69059503,1,0,0,37,0.100456618,3.609089136,197,22,219,0.690355301,1,0,0,22
144,0.07283465,3.260233879,471,37,508,0.6916279,1,0,0,37,0.100456618,3.593621016,197,22,219,0.691278279,1,0,0,22
145,0.07283465,3.167107582,471,37,508,0.7033339,1,0,0,37,0.100456618,3.578277826,197,22,219,0.693354845,1,0,0,22
146,0.07283465,3.195340395,471,37,508,0.6831354,1,0,0,37,0.100456618,3.563059807,197,22,219,0.693585575,1,0,0,22
147,0.07283465,3.12602067,471,37,508,0.7667413,1,0,0,37,0.100456618,3.547958136,197,22,219,0.694047093,1,0,0,22
148,0.07283465,3.148448229,471,37,508,0.6949561,1,0,0,37,0.100456618,3.53296876,197,22,219,0.694047093,1,0,0,22
149,0.07283465,3.072441339,471,37,508,0.6953578,1,0,0,37,0.100456618,3.518409491,197,22,219,0.693816364,1,0,0,22
150,0.07283465,3.089540958,471,37,508,0.73374647,1,0,0,37,0.100456618,3.503922939,197,22,219,0.694047093,1,0,0,22
151,0.07283465,3.115716934,471,37,508,0.66741264,1,0,0,37,0.100456618,3.489566326,197,22,219,0.694277823,1,0,0,22
152,0.07283465,3.068425417,471,37,508,0.6990302,1,0,0,37,0.100456618,3.475130796,197,22,219,0.694047093,1,0,0,22
153,0.07283465,3.072610855,471,37,508,0.70677686,1,0,0,37,0.100456618,3.460880756,197,22,219,0.694739282,1,0,0,22
154,0.07283465,3.093939066,471,37,508,0.6056694,1,0,0,37,0.100456618,3.447128296,197,22,219,0.695431471,1,0,0,22
155,0.07283465,3.019875765,471,37,508,0.7122282,1,0,0,37,0.100456618,3.43341589,197,22,219,0.696354389,1,0,0,22
156,0.07283465,3.034536839,471,37,508,0.6973662,1,0,0,37,0.100456618,3.419933081,197,22,219,0.697738826,1,0,0,22
157,0.07283465,2.971124649,471,37,508,0.7631836,1,0,0,37,0.100456618,3.406634808,197,22,219,0.698200285,1,0,0,22
158,0.07283465,3.004481316,471,37,508,0.68514377,1,0,0,37,0.100456618,3.393410206,197,22,219,0.697508097,1,0,0,22
159,0.07283465,2.990946531,471,37,508,0.68319273,1,0,0,37,0.100456618,3.380646229,197,22,219,0.697738826,1,0,0,22
160,0.07874016,2.924913883,471,37,505,0.7608883,1,0.006369427,3,37,0.12328767,3.367819786,197,22,214,0.698661745,1,0.02538071,5,22
161,0.08070866,2.930501461,471,37,504,0.7105067,1,0.008492569,4,37,0.173515975,3.355407953,197,22,203,0.698892474,1,0.081218272,16,22
162,0.08267716,3.012108088,471,37,503,0.63516384,1,0.010615711,5,37,0.200913236,3.342865467,197,22,197,0.699584663,1,0.111675128,22,22
163,0.09645669,2.927066803,471,37,494,0.74482125,0.972973,0.027600849,13,36,0.246575341,3.33024931,197,22,187,0.699353933,1,0.162436545,32,22
164,0.114173226,2.883969307,471,37,483,0.7504447,0.9459459,0.04883227,23,35,0.301369876,3.317796946,197,22,173,0.699815392,0.954545438,0.228426397,45,21
165,0.12992126,2.95520854,471,37,479,0.5998164,1,0.061571125,29,37,0.310502291,3.305328608,197,22,171,0.700046122,0.954545438,0.238578677,47,21
