epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
57,0.48031497,4.963247776,478,30,272,0.57935846,0.6333333,0.4707113,225,19,0.867579937,4.833461761,209,10,23,0.454066992,0.200000003,0.89952153,188,2
58,0.47440946,5.005548,478,30,269,0.5237099,0.53333336,0.4707113,225,16,0.858447492,4.807178497,209,10,25,0.450239241,0.200000003,0.889952183,186,2
59,0.4488189,4.949007988,478,30,288,0.5539052,0.6333333,0.43723848,209,19,0.858447492,4.781032085,209,10,25,0.447966516,0.200000003,0.889952183,186,2
60,0.4448819,4.855096817,478,30,302,0.6856346,0.8333333,0.4205021,201,25,0.858447492,4.755050659,209,10,25,0.437799037,0.200000003,0.889952183,186,2
61,0.47244096,4.90917778,478,30,276,0.5519526,0.6333333,0.4623431,221,19,0.858447492,4.729257584,209,10,25,0.435406685,0.200000003,0.889952183,186,2
62,0.4448819,4.908768654,478,30,284,0.49923292,0.53333336,0.43933055,210,16,0.858447492,4.703573704,209,10,25,0.430143535,0.200000003,0.889952183,186,2
63,0.4488189,4.858849525,478,30,282,0.5282427,0.53333336,0.44351465,212,16,0.858447492,4.67797184,209,10,25,0.431578934,0.200000003,0.889952183,186,2
64,0.41141734,4.836671829,478,30,301,0.51080894,0.53333336,0.40376568,193,16,0.858447492,4.65250206,209,10,25,0.431100488,0.200000003,0.889952183,186,2
65,0.41141734,4.786473274,478,30,307,0.55627614,0.6333333,0.39748955,190,19,0.853881299,4.627200603,209,10,26,0.427272737,0.200000003,0.88516748,185,2
66,0.3996063,4.754558563,478,30,311,0.53040445,0.6,0.3870293,185,18,0.849315047,4.60200882,209,10,27,0.43349281,0.200000003,0.880382776,184,2
67,0.36417323,4.766717434,478,30,331,0.5203626,0.6333333,0.34728032,166,19,0.844748855,4.576983452,209,10,28,0.432535887,0.200000003,0.875598073,183,2
68,0.4035433,4.739277363,478,30,311,0.52796376,0.6333333,0.38912135,186,19,0.83561641,4.552127838,209,10,30,0.432535887,0.200000003,0.866028726,181,2
69,0.37401575,4.702858925,478,30,326,0.514993,0.6333333,0.35774058,171,19,0.803652942,4.527462482,209,10,37,0.430143535,0.200000003,0.832535863,174,2
70,0.38385826,4.709534645,478,30,329,0.5819386,0.76666665,0.35983264,172,23,0.780821919,4.502955914,209,10,44,0.426315784,0.300000012,0.803827763,168,3
71,0.38779527,4.661054134,478,30,325,0.5446653,0.73333335,0.36610878,175,22,0.739726007,4.478642941,209,10,53,0.416746408,0.300000012,0.760765553,159,3
72,0.36811024,4.635786057,478,30,337,0.55167365,0.76666665,0.34309623,164,23,0.703196347,4.454482555,209,10,61,0.412918657,0.300000012,0.722488046,151,3
73,0.32677165,4.63553524,478,30,356,0.5100767,0.73333335,0.30125523,144,22,0.698630154,4.430478573,209,10,62,0.409090906,0.300000012,0.717703342,150,3
74,0.3051181,4.55414629,478,30,371,0.5945607,0.8,0.27405858,131,24,0.616438329,4.406685352,209,10,80,0.405741632,0.300000012,0.631578922,132,3
